-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.57	0.2	0	-0.5	-0.5	-0.5	-0.5	-1.57	-0.2	0	-0.5	0.5	-0.5	0.5	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.562130326	0.202005013	-0.001246851	-0.497493734	-0.497493734	-0.497493734	-0.497493734	-1.562130326	-0.202005013	0.001246851	-0.497493734	0.497493734	-0.497493734	0.497493734	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.554260652	0.204010025	-0.00248114	-0.494987469	-0.494987469	-0.494987469	-0.494987469	-1.554260652	-0.204010025	0.00248114	-0.494987469	0.494987469	-0.494987469	0.494987469	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.546390977	0.206015038	-0.003702866	-0.492481203	-0.492481203	-0.492481203	-0.492481203	-1.546390977	-0.206015038	0.003702866	-0.492481203	0.492481203	-0.492481203	0.492481203	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.538521303	0.20802005	-0.004912029	-0.489974937	-0.489974937	-0.489974937	-0.489974937	-1.538521303	-0.20802005	0.004912029	-0.489974937	0.489974937	-0.489974937	0.489974937	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.530651629	0.210025063	-0.00610863	-0.487468672	-0.487468672	-0.487468672	-0.487468672	-1.530651629	-0.210025063	0.00610863	-0.487468672	0.487468672	-0.487468672	0.487468672	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.522781955	0.212030075	-0.007292668	-0.484962406	-0.484962406	-0.484962406	-0.484962406	-1.522781955	-0.212030075	0.007292668	-0.484962406	0.484962406	-0.484962406	0.484962406	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.514912281	0.214035088	-0.008464143	-0.48245614	-0.48245614	-0.48245614	-0.48245614	-1.514912281	-0.214035088	0.008464143	-0.48245614	0.48245614	-0.48245614	0.48245614	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.507042607	0.2160401	-0.009623055	-0.479949875	-0.479949875	-0.479949875	-0.479949875	-1.507042607	-0.2160401	0.009623055	-0.479949875	0.479949875	-0.479949875	0.479949875	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.499172932	0.218045113	-0.010769405	-0.477443609	-0.477443609	-0.477443609	-0.477443609	-1.499172932	-0.218045113	0.010769405	-0.477443609	0.477443609	-0.477443609	0.477443609	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.491303258	0.220050125	-0.011903192	-0.474937343	-0.474937343	-0.474937343	-0.474937343	-1.491303258	-0.220050125	0.011903192	-0.474937343	0.474937343	-0.474937343	0.474937343	0	0
-0.876289	2.19889	-1.32545	0	0	0	0	0	0	0	0	0	0	-1.483433584	0.222055138	-0.013024416	-0.472431078	-0.472431078	-0.472431078	-0.472431078	-1.483433584	-0.222055138	0.013024416	-0.472431078	0.472431078	-0.472431078	0.472431078	0	0
